,PETR4.SA,VALE3.SA,^BVSP,DEXBZUS
2017-11-14,15.35,32.16,70827.0,3.3031
2017-11-15,15.35,32.16,70827.0,3.3132
2017-11-16,15.81,32.6,72512.0,3.2756
2017-11-17,16.02,32.92,73437.0,3.2629
2017-11-20,16.02,32.92,0.0,3.2573
2017-11-21,15.9,34.05,74595.0,3.2447
2017-11-22,16.11,34.74,74519.0,3.2347
2017-11-23,16.19,35.2,74487.0,
2017-11-24,16.1,35.79,74157.0,3.2227
2017-11-27,15.87,35.41,74059.0,3.2247
2017-11-28,15.84,36.25,74140.0,3.2055
2017-11-29,15.33,35.7,72700.0,3.2285
2017-11-30,15.38,35.14,71971.0,3.2843
2017-12-01,15.61,35.48,72264.0,3.2577
2017-12-04,15.48,36.83,73090.0,3.2498
2017-12-05,15.31,36.02,72546.0,3.2338
2017-12-06,15.52,35.76,73268.0,3.2394
2017-12-07,15.26,35.34,72487.0,3.2993
2017-12-08,15.35,35.48,72732.0,3.3075
2017-12-11,15.38,35.76,72800.0,3.2883
2017-12-12,15.49,36.18,73814.0,3.3298
2017-12-13,15.18,36.11,72914.0,3.3049
2017-12-14,15.01,36.24,72429.0,3.3396
2017-12-15,14.95,36.89,72608.0,3.3166
2017-12-18,15.22,37.84,73115.0,3.2821
2017-12-19,15.14,37.85,72680.0,3.3008
2017-12-20,15.24,39.15,73367.0,3.2907
2017-12-21,15.86,39.73,75133.0,3.3065
2017-12-22,15.75,39.79,75187.0,3.3209
2017-12-25,15.75,39.79,0.0,
2017-12-26,15.97,39.85,75688.0,3.3173
2017-12-27,16.05,39.86,76073.0,3.3016
2017-12-28,16.1,40.26,76402.0,3.3005
2017-12-29,16.1,40.26,76402.0,3.3121
2018-01-02,16.55,41.72,77891.0,3.262
2018-01-03,16.7,41.47,77995.0,3.2422
2018-01-04,16.73,41.64,78647.0,3.2274
2018-01-05,16.83,42.29,79071.0,3.2285
2018-01-08,17.03,43.23,79379.0,3.2308
2018-01-09,17.03,43.07,78864.0,3.2491
2018-01-10,16.8,42.47,78201.0,3.2363
2018-01-11,17.25,43.3,79365.0,3.2254
2018-01-12,17.3,43.55,79349.0,3.2162
2018-01-15,17.35,43.47,79752.0,
2018-01-16,17.65,42.3,79832.0,3.2274
2018-01-17,18.36,43.15,81189.0,3.2215
2018-01-18,18.22,42.86,80963.0,3.2169
2018-01-19,18.26,42.88,81220.0,3.205
2018-01-22,18.47,42.65,81675.0,3.2024
2018-01-23,18.24,40.93,80678.0,3.2312
2018-01-24,19.34,41.78,83680.0,3.1938
2018-01-25,19.34,41.78,83680.0,3.147
2018-01-26,19.93,41.43,85531.0,3.1499
2018-01-29,19.85,41.89,84698.0,3.1634
2018-01-30,19.49,41.47,84482.0,3.1874
2018-01-31,19.7,41.45,84913.0,3.1782
2018-02-01,20.52,41.79,85495.0,3.1718
2018-02-02,19.97,40.8,84041.0,3.2205
2018-02-05,19.04,40.35,81861.0,3.2365
2018-02-06,19.99,42.47,83894.0,3.2535
2018-02-07,19.44,41.71,82767.0,3.262
2018-02-08,19.05,41.59,81533.0,3.2895
2018-02-09,18.77,42.0,80899.0,3.3083
2018-02-14,19.25,44.51,83543.0,3.2551
2018-02-15,19.4,45.95,84291.0,3.2318
2018-02-16,19.42,46.03,84525.0,3.2219
2018-02-19,20.05,46.45,84793.0,
2018-02-20,20.44,45.51,85804.0,3.2434
2018-02-21,20.25,44.8,86052.0,3.2581
2018-02-22,20.74,45.67,86686.0,3.2579
2018-02-23,21.12,46.08,87293.0,3.2344
2018-02-26,21.52,47.4,87653.0,3.2381
2018-02-27,21.5,47.33,86935.0,3.2472
2018-02-28,21.46,45.05,85481.0,3.2428
2018-03-01,21.03,44.45,85378.0,3.2421
2018-03-02,21.51,43.75,85761.0,3.2513
2018-03-05,22.12,43.7,86023.0,3.2527
2018-03-06,21.9,43.49,85653.0,3.2191
2018-03-07,21.67,42.85,85484.0,3.2364
2018-03-08,21.7,41.46,84985.0,3.262
2018-03-09,22.39,42.1,86371.0,3.2469
2018-03-12,22.33,42.46,86900.0,3.2609
2018-03-13,22.11,42.13,86384.0,3.2483
2018-03-14,22.38,42.6,86051.0,3.2641
2018-03-15,21.31,42.4,84928.0,3.2841
2018-03-16,21.43,42.3,84886.0,3.2897
2018-03-19,20.93,41.1,83913.0,3.2873
2018-03-20,21.16,41.6,84164.0,3.295
2018-03-21,22.05,42.5,84977.0,3.2865
2018-03-22,21.72,41.93,84768.0,3.3034
2018-03-23,21.75,41.6,84377.0,3.3125
2018-03-26,22.03,42.0,85088.0,3.3043
2018-03-27,21.44,40.86,83808.0,3.3263
2018-03-28,21.2,41.54,83874.0,3.3369999999999997
2018-03-29,21.41,42.21,85366.0,3.3229
