Equipe_indice,PTS,J,V,E,D,GP,GC,SG,UF
Internacional,49,24,14,7,3,31,13,18,RS
São Paulo,49,24,14,7,3,36,19,17,SP
Palmeiras,46,24,13,7,4,36,16,20,SP
Flamengo,44,24,13,5,6,35,20,15,RJ
Grêmio,41,24,11,8,5,29,12,17,RS
Atlético,38,23,11,5,7,38,28,10,MG
Cruzeiro,33,24,8,9,7,19,19,0,MG
Santos,31,23,8,7,8,28,23,5,SP
Fluminense,31,24,8,7,9,23,27,-4,RJ
Corinthians,30,24,8,6,10,25,21,4,SP
América,30,24,8,6,10,24,28,-4,MG
Vitória,29,24,8,5,11,23,40,-17,BA
Bahia,28,24,7,7,10,24,29,-5,BA
Atlético,27,22,7,6,9,25,22,3,PR
Botafogo,26,24,6,8,10,21,33,-12,RJ
Vasco da Gama,24,23,6,6,11,26,35,-9,RJ
Sport,24,24,6,6,12,20,36,-16,PE
Ceará,24,24,5,9,10,15,25,-10,CE
Chapecoense,22,23,4,10,9,22,34,-12,SC
Paraná,16,24,3,7,14,11,31,-20,PR
